Year,climateTrend1,climateTrend2,climateTrend3,biologyTrend1,biologyTrend2,biologyTrend3,PDO,MEI,NPGO,SCChydro.9330.r_temp,SCChydro.9330.r_salinity,SCChydro.9330.r_sigma,SCChydro.9330.r_o2,SCChydro.9330.r_no3,SCChydro.9330.r_po4,SCChydro.8080.r_temp,SCChydro.8080.r_salinity,SCChydro.8080.r_sigma,SCChydro.8080.r_o2,SCChydro.8080.r_no3,SCChydro.8080.r_po4,SCChydro.93110.r_temp,SCChydro.93110.r_salinity,SCChydro.93110.r_sigma,SCChydro.93110.r_o2,SCChydro.93110.r_no3,SCChydro.93110.r_po4
1950,-0.383559156,-0.177632737,1.975443999,NA,NA,NA,-1.81,-1.10075,-0.766430557,8.322,34.1172,26.53,1.876,NA,2.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,0.650628992,-0.00815728,0.977587459,-0.307285135,-0.181170998,0.514019463,-0.769166667,0.010166667,-0.961180174,8.86,34.22,26.53,1.825,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,-0.534444118,0.42299563,0.969971231,-0.152325205,-0.151603745,0.465749748,-0.865833333,-0.0665,-0.6394242,8.82,34.1484,26.478,1.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,-0.23353576,-1.509556835,0.211598458,-0.618130965,-0.236050776,0.211835803,-0.156666667,0.327583333,1.082280947,9.375,34.2425,26.465,1.635,NA,NA,9.13,33.353,25.81,4.44,NA,NA,NA,NA,NA,NA,NA,NA
1954,0.42365295,-1.671406316,0.590727522,-0.635761483,-0.050575599,0.032845562,-0.290833333,-0.930083333,0.20706549,9.266666667,34.287,26.51666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,-0.303626856,-1.55713617,1.26587329,-0.797457166,-0.045146337,0.008925948,-1.948333333,-1.621166667,-0.074898058,8.645,34.203,26.545,1.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,0.850870813,-1.289133352,1.25458814,-0.638377046,-0.236103474,0.218063501,-1.804166667,-1.287416667,0.069951982,8.97,34.1995,26.495,2.065,NA,NA,9.32,33.38533333,25.8,4.893333333,NA,NA,NA,NA,NA,NA,NA,NA
1957,-0.12722303,-1.138134132,0.409283635,-0.434728988,-0.42506992,0.663909817,0.2275,0.618666667,-1.147306954,8.99,34.26,26.54,1.35,NA,NA,9.48,33.43,25.81,4.46,NA,NA,NA,NA,NA,NA,NA,NA
1958,0.075972453,-0.212487199,0.844659192,-0.480557264,0.190619098,0.336715585,0.643333333,0.787,-0.547807002,8.61,34.162,26.525,1.855,NA,NA,9.76,33.49,25.81,4.3,NA,NA,NA,NA,NA,NA,NA,NA
1959,-0.442348902,0.582681288,-0.626002645,-0.577750075,0.129232317,0.361614708,-0.026666667,0.133416667,-0.203461008,9.141428571,34.22985714,26.49,1.455,NA,NA,10.32,33.53,25.75,4,NA,NA,NA,NA,NA,NA,NA,NA
1960,-0.009741208,0.860734117,-0.113058568,-0.525068453,-0.233153844,0.75481462,0.0575,-0.2805,0.747739953,8.925555556,34.20533333,26.50777778,1.513333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,1.43809138,0.90342822,0.167868402,-0.441381383,-0.265162915,0.62653264,-0.8175,-0.280333333,0.970684513,8.946666667,34.20333333,26.5,1.623333333,NA,NA,10.06,33.563,25.82,4.64,NA,NA,NA,NA,NA,NA,NA,NA
1962,-0.308598287,0.786806606,0.022756361,-0.303967286,-0.332064692,1.073641228,-1.158333333,-0.761833333,-0.093424126,8.813333333,34.14866667,26.48,1.453333333,NA,NA,10.4,33.575,25.77,4,NA,NA,NA,NA,NA,NA,NA,NA
1963,-0.280185556,0.738438012,0.080557247,-0.639447422,-0.235410576,0.815669581,-0.685833333,0.042833333,-0.234721502,8.903333333,34.24,26.53666667,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,0.356680508,0.441328987,0.96499461,-0.298969162,-0.252270394,0.494072091,-0.77,-0.785333333,0.544102425,8.626666667,34.16233333,26.52,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,-0.332579349,-0.161319548,0.743942325,-0.314166667,0.69175,-0.837212701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,-0.078405091,-0.040064461,0.071327389,0.105705981,-0.727284019,1.265891707,-0.459166667,0.253916667,-0.956356193,9.023333333,34.229,26.51,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,-0.734166667,-0.594833333,-0.699724801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,-0.403333333,-0.321083333,-0.850601763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,0.211825968,-0.421934379,-0.524618368,-0.251356509,-0.02211449,0.380573622,-0.098333333,0.545333333,-0.387628509,9.24,34.25111111,26.49444444,1.4325,29.9,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,-0.3975,-0.53275,0.061043154,,,,,,,,,,,,,,,,,,
1971,NA,NA,NA,0.297215657,-0.796942106,0.760422492,-1.290833333,-1.407,0.381984271,,,,,,,,,,,,,,,,,,
1972,0.226606271,-0.254309046,0.037653789,1.056184053,-1.259532181,0.723614258,-0.921666667,0.859,-0.659303726,9.155,34.21,26.475,NA,NA,NA,10.02333333,33.52066667,25.79,4.79,14,1.24,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,0.746685088,-0.645796402,0.458096807,-0.804166667,-0.449166667,0.126585564,,,,,,,,,,,,,,,,,,
1974,NA,NA,NA,0.4373341,-0.728475939,0.591011383,-0.336666667,-1.175083333,-0.009310217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,0.132652826,0.031449822,0.838165687,0.423515392,-0.569524512,0.399015235,-1.101666667,-1.29375,0.798500537,8.696,34.172,26.516,NA,NA,NA,9.93,33.485,25.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,0.518015848,-0.165795803,0.180876827,0.008333333,-0.104916667,1.86321135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,0.495134179,-0.460040643,0.480924641,0.230833333,0.621166667,1.249270341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,0.248246144,-0.481724372,0.627457521,0.757605792,0.226725627,-0.189920418,0.235833333,0.117083333,0.504466636,9.006,34.2262,26.51,1.652,28.86,2.113333333,9.54,33.496,25.85,4.52,16.4,1.07,7.58,34,26.55,3.17,27.7,2.17
